,Farmacia,Producto,SKU,Normal,Oferta
22,Ahumada,Vitamina C 1000 Mg. 100 Comprimidos,89473,11995.00,11995.00
23,Ahumada,Vitamina C 1000 Mg. 100 Comprimidos,89473,11995.00,11995.00
24,Ahumada,Gatorade Jugo Botella Cool Blue x 750 mL,74882002,1999.00,1999.00
25,Ahumada,Gatorade Jugo Botella Cool Blue x 750 mL,74882002,1999.00,1999.00
26,Ahumada,AB 5 mg Antiseptico Bucal x 12 Comprimidos Masticables,9088,3095.00,3095.00
27,Ahumada,Tetralysal 300 mg x 28 C\u00e1psulas,75535,37295.00,37295.00
28,Ahumada,Tobradex x 5 mL Suspensi\u00f3n Oft\u00e1lmica,8078,26695.00,26695.00
29,Ahumada,Similac Formula Etapa 3 x 900 g,77922,12599.00,12599.00
30,Ahumada,Babysec Toallitas Humedas Super Premium x 40 Unidades,86725,1649.00,1649.00
31,Ahumada,Mustela Gel De Ba\u00f1o x 500 mL,88586,9399.00,9399.00
32,Ahumada,Maybelline M\u00e1scara De Pesta\u00f1as Big Shot Waterproof x 9 mL,83713002,8499.00,8499.00
33,Ahumada,TOA HIG.LADYSOFT NOCT ULTRA DELG.24U,88135,4749.00,4749.00
34,Ahumada,TOA HIG.LADYSOFT NOCT ULTRA DELG.24U,88135,4749.00,4749.00
35,Ahumada,TOA HIG.LADYSOFT NOCT ULTRA DELG.24U,88135,4749.00,4749.00
36,Ahumada,Prestat 75 mg x 40 Comprimidos,75541,12895.00,12895.00
37,Ahumada,Kitadol 1 g x 18 Comprimidos,66871,8395.00,8395.00
38,Ahumada,Kitadol 1 g x 18 Comprimidos,66871,8395.00,8395.00
39,Ahumada,Cerave Gel Limpiador Espumoso Piel Normal A Grasa x 473 mL,85388,12699.00,12699.00
40,Ahumada,Crema Facial Antiarrugas Eucerin Hyaluron-FILLER Noche 50 ML,50705,29599.00,29599.00
41,Ahumada,Crema Facial Antiarrugas Eucerin Hyaluron-FILLER Noche 50 ML,50705,29599.00,29599.00
42,Ahumada,Similac Formula Etapa 3 x 900 g,77922,12599.00,12599.00
43,Ahumada,Nestle Picado Etapa 3 Carne\/Verdura\/Fideos x 215 g,32323002,2349.00,2349.00
44,Ahumada,Nestle Picado Etapa 3 Carne\/Verdura\/Fideos x 215 g,32323002,2349.00,2349.00
45,Ahumada,Pack P. Dent. Aquafresh Advan. 2un.,83811,3599.00,3599.00
46,Ahumada,Pack P. Dent. Aquafresh Advan. 2un.,83811,3599.00,3599.00
47,Ahumada,Aquafresh Pasta Dental Big Teeth Kids x 110 g,79187,2799.00,2799.00
48,Ahumada,Biogaia x 5 mL Soluci\u00f3n Oral Para Gotas,64660,22195.00,22195.00
49,Ahumada,Ginemaxim 40 mg x 60 Comprimidos,46659,14295.00,14295.00
50,Ahumada,N/A,N/A,N/A,N/A
51,Ahumada,N/A,N/A,N/A,N/A
52,Ahumada,Aquafresh Cepillo Dental Little Teeth x 1 Unidad,79179,3649.00,3649.00
53,Ahumada,Oral B Cepillo Dental Electrico Vitality x 1 Unidad,71903,25099.00,25099.00
54,Ahumada,Rexona Desodorante Clinical Soft Solid Men x 48 g,64466,5499.00,5499.00
55,Ahumada,Desodorante Spray Men Clean,87421,4199.00,4199.00
56,Ahumada,N/A,N/A,N/A,N/A
57,Ahumada,Liberat 120 mg x 90 C\u00e1psulas,61742,45795.00,45795.00
58,Ahumada,Antiax x 6 Comprimidos Masticables,76231,2695.00,2695.00
59,Ahumada,Antiax x 6 Comprimidos Masticables,76231,2695.00,2695.00
60,Ahumada,Cerave Crema Hidratante Piel Seca x 454 mL,85463,15199.00,15199.00
61,Ahumada,Cerave Crema Hidratante Piel Seca x 454 mL,85463,15199.00,15199.00
62,Ahumada,Cicatricure Gel Para Cicatrices x 60 g,70064,13199.00,13199.00
63,Ahumada,Variplex x 60 Comprimidos,46675,14095.00,14095.00
64,Ahumada,"Losapres D 50 mg\/12,5 mg x 30 Comprimidos Recubiertos",18296,26095.00,26095.00
65,Ahumada,"Losapres D 50 mg\/12,5 mg x 30 Comprimidos Recubiertos",18296,26095.00,26095.00
66,Ahumada,Cerave Gel Limpiador Espumoso Piel Normal A Grasa x 473 mL,85388,12699.00,12699.00
67,Ahumada,Cerave Gel Limpiador Espumoso Piel Normal A Grasa x 473 mL,85388,12699.00,12699.00
68,Ahumada,Gillette Maquina De Afeitar Prestobarba 3 x 6 Unidades,84733,6999.00,6999.00
69,Ahumada,Pack P. Dent. Aquafresh Advan. 2un.,83811,3599.00,3599.00
70,Ahumada,Avene Agua Termal Spray x 300 mL,17793,15899.00,15899.00
71,Ahumada,Avene Agua Termal Spray x 300 mL,17793,15899.00,15899.00
72,Ahumada,Trelegy Ellipta 92 \/55\/22 mcg\/dosis x 30 Dosis Polvo para Inhalacion Oral,86704,117895.00,117895.00
73,Ahumada,Trelegy Ellipta 92 \/55\/22 mcg\/dosis x 30 Dosis Polvo para Inhalacion Oral,86704,117895.00,117895.00
74,Ahumada,Melipass x 60 Capsulas,46665,5295.00,5295.00
75,Ahumada,N/A,N/A,N/A,N/A
76,Ahumada,N/A,N/A,N/A,N/A
77,Ahumada,Desodorante Spray Men Clean,87421,4199.00,4199.00
78,Ahumada,Soap & Glory Brillo Labial Smp Plums x 1 Unidad,81176006,8299.00,8299.00
79,Ahumada,No 7 Labial Moisture Drench Soft Earth x 1 Unidad,81924014,13999.00,13999.00
80,Ahumada,Pointts x 80 mL Spray,65453,34495.00,34495.00
81,Ahumada,Toma Presion Omron HEM 7120 x 1 Unidad,81794,52295.00,52295.00
82,Ahumada,Tapones de oido desechables,1530,5095.00,5095.00
83,Ahumada,Tapones de oido desechables,1530,5095.00,5095.00
84,Ahumada,Vivo Galletas 4 Semillas x 153 g,81623,1199.00,1199.00
85,Ahumada,Trencito Chocolate De Leche x 150 g,2886,3699.00,3699.00
86,Ahumada,Trencito Chocolate De Leche x 150 g,2886,3699.00,3699.00
87,Ahumada,Xarelto 20 mg x 28 Comprimidos Recubiertos,72279,78095.00,78095.00
88,Ahumada,Piclokare 75mg. Caja 28 Comp. Rec.,69835,14495.00,14495.00
89,Ahumada,Piclokare 75mg. Caja 28 Comp. Rec.,69835,14495.00,14495.00
90,Ahumada,Asventol 4 mg x 30 Sobres Granulado Oral En Sobres,87109,26395.00,26395.00
91,Ahumada,Asventol 4 mg x 30 Sobres Granulado Oral En Sobres,87109,26395.00,26395.00
92,Ahumada,Pointts x 80 mL Spray,65453,34495.00,34495.00
93,Ahumada,All Out Piojos Loci\u00f3n x 150 mL Loci\u00f3n T\u00f3pica,82303,12395.00,12395.00
94,Ahumada,All Out Piojos Loci\u00f3n x 150 mL Loci\u00f3n T\u00f3pica,82303,12395.00,12395.00
95,Ahumada,Suncare Protector Solar Gel FPS 50+ x 90 g Gel T\u00f3pico,65751,19499.00,19499.00
96,Ahumada,Suncare Protector Solar Gel FPS 50+ x 90 g Gel T\u00f3pico,65751,19499.00,19499.00
97,Ahumada,Tetralysal 300 mg x 28 C\u00e1psulas,75535,37295.00,37295.00
98,Ahumada,"Iliadin 0,05 % x 10 mL Soluci\u00f3n Para Nebulizacion Nasal",9077,11595.00,11595.00
99,Ahumada,"Iliadin 0,05 % x 10 mL Soluci\u00f3n Para Nebulizacion Nasal",9077,11595.00,11595.00
100,Ahumada,Dove Jabon Liquido Recarga x 700 mL,70730,3499.00,3499.00
101,Ahumada,Dove Jabon Liquido Recarga x 700 mL,70730,3499.00,3499.00
102,Ahumada,Dove Pack Jabon 90 g x 1 Pack,24236,3299.00,3299.00
103,Ahumada,Soap & Glory Polvo Compacto One Heck Of A Blot x 1 Unidad,81172002,12999.00,12999.00
104,Ahumada,Launol x 60 mL Shampoo,243,6695.00,6695.00
105,Ahumada,SALICORT LOCION CAPILAR 30ML,84493,15395.00,15395.00
106,Ahumada,SALICORT LOCION CAPILAR 30ML,84493,15395.00,15395.00
107,Ahumada,"OZEMPIC SEMAGLUTIDA 2\/1,5ML JERINGA PRELLENADA",88319,164395.00,164395.00
108,Ahumada,Insulina Tresiba Flex 100 UI\/mL Solucion Inyectable x 1 Dispositivo,78280,34695.00,34695.00
109,Ahumada,Insulina Tresiba Flex 100 UI\/mL Solucion Inyectable x 1 Dispositivo,78280,34695.00,34695.00
110,Ahumada,Muxol Adulto 30 mg\/5 mL x 100 mL Jarabe,9257,5295.00,5295.00
111,Ahumada,Muxol Adulto 30 mg\/5 mL x 100 mL Jarabe,9257,5295.00,5295.00
112,Ahumada,YES! OHH YESS GEL LUBRICANTE 40ML.,90030,8095.00,8095.00
113,Ahumada,YES! OHH YESS GEL LUBRICANTE 40ML.,90030,8095.00,8095.00
114,Ahumada,YES! OHH YESS GEL LUBRICANTE 40ML.,90030,8095.00,8095.00
115,Ahumada,Brintellix 10 mg x 28 Comprimidos Recubiertos,78300,63895.00,63895.00
116,Ahumada,Brintellix 10 mg x 28 Comprimidos Recubiertos,78300,63895.00,63895.00
117,Ahumada,JABON INTIMO NIVEA SUAVE 250ML,81095,6499.00,6499.00
118,Ahumada,Avene Gel De Limpieza Cara Y Cuerpo Cleanance x 400 mL,85654,18699.00,18699.00
119,Ahumada,Recovery K Tape Negra 5m.,79779,9795.00,9795.00
120,Ahumada,Recovery K Tape Negra 5m.,79779,9795.00,9795.00
121,Ahumada,N/A,N/A,N/A,N/A
122,Ahumada,"Red Off 0,0125% x 15 mL Solucion Oftalmica",165,3349.00,3349.00
123,Ahumada,Simbrinza x 5 mL Suspensi\u00f3n Oft\u00e1lmica,81754,37195.00,37195.00
124,Ahumada,Simbrinza x 5 mL Suspensi\u00f3n Oft\u00e1lmica,81754,37195.00,37195.00
125,Ahumada,Vichy Base Vichy Dermablend Correctora 25 x 30 mL,50439004,30399.00,30399.00
126,Ahumada,Vichy Base Vichy Dermablend Correctora 25 x 30 mL,50439004,30399.00,30399.00
127,Ahumada,Vichy Base Vichy Dermablend Correctora 25 x 30 mL,50439004,30399.00,30399.00
128,Ahumada,"Strepfen Miel Y Lim\u00f3n 8,75 mg x 8 Pastillas De Disoluci\u00f3n Bucal",72984,4945.00,4945.00
129,Ahumada,"Strepfen Miel Y Lim\u00f3n 8,75 mg x 8 Pastillas De Disoluci\u00f3n Bucal",72984,4945.00,4945.00
130,Ahumada,"Strepfen Miel Y Lim\u00f3n 8,75 mg x 8 Pastillas De Disoluci\u00f3n Bucal",72984,4945.00,4945.00
131,Ahumada,Goicoechea Crema Diabet TX Plus 10% Urea x 250 g,86467,11799.00,11799.00
132,Ahumada,Neostrata Skin Active Cellular Restoration x 50 g Crema Restauradora Facial Noche,75901,65999.00,65999.00
133,Ahumada,Neostrata Skin Active Cellular Restoration x 50 g Crema Restauradora Facial Noche,75901,65999.00,65999.00
134,Ahumada,Limpieza Cerave Aceite Espumoso Hidratacion 473ml,90195,12699.00,12699.00
135,Ahumada,Limpieza Cerave Aceite Espumoso Hidratacion 473ml,90195,12699.00,12699.00
136,Ahumada,CREMA CORPORAL EUCERIN pH5 450ML,84790,24599.00,24599.00
137,Ahumada,ESMALTE XTREME WEAR LACEY LILAC SALLY HANSEN,77946002,3199.00,3199.00
138,Ahumada,ESMALTE XTREME WEAR LACEY LILAC SALLY HANSEN,77946002,3199.00,3199.00
139,Ahumada,Vitamina C 1000 Mg. 100 Comprimidos,89473,11995.00,11995.00
140,Ahumada,Boost Powder Senior Coffee Milk 370gr,86710,10095.00,10095.00
141,Ahumada,Rexona Desodorante Clinical Soft Solid Men x 48 g,64466,5499.00,5499.00
142,Ahumada,Dove Men Desodorante Roll On Invisible Dry Men x 50 mL,76148,3699.00,3699.00
143,Ahumada,Cachantun Bebida Botella Gasificada x 500 mL,17448,1149.00,1149.00
144,Ahumada,Cachantun Bebida Botella Sin Gas x 500 mL,17487,1149.00,1149.00
145,Ahumada,Cardioplus 40mg. Caja 40 Comp. Rec.,89620,18995.00,18995.00
146,Ahumada,Cardioplus 40mg. Caja 40 Comp. Rec.,89620,18995.00,18995.00
147,Ahumada,"Jardiance Duo 12,5 mg\/1000 mg x 60 Comprimidos Recubiertos",83634,48395.00,48395.00
148,Ahumada,"Losapres D 50 mg\/12,5 mg x 30 Comprimidos Recubiertos",18296,26095.00,26095.00
149,Ahumada,Betaloc Zok 100 mg x 30 Comprimidos De Liberaci\u00f3n Prolongada,63450,42995.00,42995.00
150,Ahumada,Betaloc Zok 100 mg x 30 Comprimidos De Liberaci\u00f3n Prolongada,63450,42995.00,42995.00
151,Ahumada,Rexulti 1 mg x 28 Comprimidos Recubiertos,87927,44495.00,44495.00
152,Ahumada,Rexulti 1 mg x 28 Comprimidos Recubiertos,87927,44495.00,44495.00
153,Ahumada,Bion 3 x 30 Comprimidos Recubiertos,38354,10795.00,10795.00
154,Ahumada,Nestle Colado Etapa 3 Verdura\/Carne x 215 g,43756001,2349.00,2349.00
155,Ahumada,Nestle Colado Etapa 3 Verdura\/Carne x 215 g,43756001,2349.00,2349.00
156,Ahumada,Dove Shampoo Oleo Nutricion x 400 mL,72189004,3999.00,3999.00
157,Ahumada,Dove Shampoo Oleo Nutricion x 400 mL,72189004,3999.00,3999.00
158,Ahumada,Ladysoft Toalla Higienica Ultra Delgada Tela Ultraseca Con Alas x 8 Unidades,49331,1649.00,1649.00
159,Ahumada,Dolorub Hilos De Cobre x 1 Parche,80662,2595.00,2595.00
160,Ahumada,La Prepie Parche Gel Frio 4un,85191,1595.00,1595.00
161,Ahumada,Compresa Grande Fr\u00edo\/Calor,6341,12495.00,12495.00
162,Ahumada,Similac Formula Etapa 3 x 900 g,77922,12599.00,12599.00
163,Ahumada,Similac Formula Etapa 2 x 900 g,66516,16999.00,16999.00
164,Ahumada,Shampoo Isdin Baby Naturals Gel 400ml,89231,13499.00,13499.00
165,Ahumada,Engystol x 50 Comprimidos,49937,19295.00,19295.00
166,Ahumada,N/A,N/A,N/A,N/A
167,Ahumada,Isdin Gel Crema Acniben\u00ae Repair Hidratante Aliviante Y Reparador x 40 mL,48326,16499.00,16499.00
168,Ahumada,Nexium 40 mg x 28 Comprimidos Con Recubrimiento Ent\u00e9rico,35826,46395.00,46395.00
169,Ahumada,Nexium 40 mg x 28 Comprimidos Con Recubrimiento Ent\u00e9rico,35826,46395.00,46395.00
170,Ahumada,Sedal Crema Para Peinar Rizos Definidos x 300 mL,81782,2399.00,2399.00
171,Ahumada,Acondicionador Hidratante Coconut Milk Bio: Renew,84814002,7299.00,7299.00
172,Ahumada,Suncare Protector Solar Gel FPS 50+ x 90 g Gel T\u00f3pico,65751,19499.00,19499.00
173,Ahumada,Suncare Protector Solar Gel FPS 50+ x 90 g Gel T\u00f3pico,65751,19499.00,19499.00
174,Ahumada,Ferbex 200 mg x 30 C\u00e1psulas,85239,23595.00,23595.00
175,Ahumada,Ferbex 200 mg x 30 C\u00e1psulas,85239,23595.00,23595.00
176,Ahumada,Ferbex 200 mg x 30 C\u00e1psulas,85239,23595.00,23595.00
177,Ahumada,"Cetraxal 0,3 % x 10 mL Solucion para Gotas Oticas",77827,18995.00,18995.00
178,Ahumada,Ducray Tratamiento Anacaps Activ+ x 30 C\u00e1psulas,80526,17999.00,17999.00
179,Ahumada,EUCERIN DERMOCAPILLAIRE SHAMPOO ANTICASPA GEL 250 ML,74062,13099.00,13099.00
180,Ahumada,EUCERIN DERMOCAPILLAIRE SHAMPOO ANTICASPA GEL 250 ML,74062,13099.00,13099.00
181,Ahumada,Exelring 120 mcg\/ 15 mcg x 3 Anillos Vaginales,87050,40895.00,40895.00
182,Ahumada,SLINDA COMP X 28 COMP REC,88401,21295.00,21295.00
183,Ahumada,Accu-Chek Instant Cintas x 50 Unidades,84495,42695.00,42695.00
184,Ahumada,N/A,N/A,N/A,N/A
185,Ahumada,N/A,N/A,N/A,N/A
186,Ahumada,Neilmed Sinus Rinse Kit Inicio x 60 Sachet,85031,23495.00,23495.00
187,Ahumada,Aerochamber Plus Child x 1 Unidad,87388,33195.00,33195.00
188,Ahumada,N/A,N/A,N/A,N/A
189,Ahumada,Colgate Pack Seda Dental 50 m x 1 Pack,66540,5849.00,5849.00
190,Ahumada,Phb Aplicador Hilo Dental Flosser x 30 Unidades,85537,4599.00,4599.00
191,Ahumada,Dvida x 10 mL Soluci\u00f3n Oral Para Gotas,72865,19395.00,19395.00
192,Ahumada,Alcohol Desnaturalizado 70% x 1000 mL Solucion Topica,88379,3995.00,3995.00
193,Ahumada,Alcohol Desnaturalizado 70% x 1000 mL Solucion Topica,88379,3995.00,3995.00
194,Ahumada,"Eliquis 2,5 mg x 60 Comprimidos Recubiertos",87441,85995.00,85995.00
195,Ahumada,N/A,N/A,N/A,N/A
196,Ahumada,N/A,N/A,N/A,N/A
197,Ahumada,N/A,N/A,N/A,N/A
198,Ahumada,Cerave Loci\u00f3n Hidratante Piel Seca A Muy Seca x 473 mL,85379,13699.00,13699.00
199,Ahumada,Dove Men Shampoo Fuerza Extrema x 400 mL,76391002,4849.00,4849.00
200,Ahumada,Multi Oil USA x 120 C\u00e1psulas,28986,12995.00,12995.00
201,Ahumada,Pampers Pa\u00f1al Premium Care P x 36 Unidades,83207001,9599.00,9599.00
202,Ahumada,Pampers Pa\u00f1al Premium Care P x 36 Unidades,83207001,9599.00,9599.00
203,Ahumada,Pampers Pa\u00f1al Premium Care P x 36 Unidades,83207001,9599.00,9599.00
204,Ahumada,Alledryl D  x 120 mL Jarabe,43934,7595.00,7595.00
205,Ahumada,Alledryl D  x 120 mL Jarabe,43934,7595.00,7595.00
206,Ahumada,Cerave Loci\u00f3n Facial Hidratante SPF 25 x 52 mL,85414,12699.00,12699.00
207,Ahumada,Viternum Vitaminado x 125 mL Solucion Para Preparacion Extemporanea,8935,23695.00,23695.00
208,Ahumada,Bonavid 300.000 UI\/2 mL x 2 mL Soluci\u00f3n Oral para Gotas,85267,18795.00,18795.00
209,Ahumada,Bonavid 300.000 UI\/2 mL x 2 mL Soluci\u00f3n Oral para Gotas,85267,18795.00,18795.00
210,Ahumada,Fructis Mascara Hair Food Aloe Vera x 350 mL,87591,4499.00,4499.00
211,Ahumada,VANITY ESPONJA DE MALLA 50 GR,87817,2099.00,2099.00
212,Ahumada,Boots Cepillo De Pelo Estilo Ventilado x 1 Unidad,86103,3799.00,3799.00
213,Ahumada,N/A,N/A,N/A,N/A
214,Ahumada,N/A,N/A,N/A,N/A
215,Ahumada,Tol 12 Forte 10000 UI x 3 Ampollas Soluci\u00f3n Inyectable,8516,7195.00,7195.00
216,Ahumada,Tol 12 Forte x 20 Capsulas,8477,20195.00,20195.00
217,Ahumada,Arnikaderm Gel 10 % x 50 g Gel T\u00f3pico,46658,10345.00,10345.00
218,Ahumada,Clidan Gel Dermico 1% Dos Pomos 15gr.,82693,18795.00,18795.00
219,Ahumada,Clidan Gel Dermico 1% Dos Pomos 15gr.,82693,18795.00,18795.00
220,Ahumada,Pigeon Extractor Leche Con Manilla B\u00e1sico 1 x 1 Unidad,86881,33399.00,33399.00
221,Ahumada,Mamadera Pigeon Vidrio Estandar 50ml,86884,9099.00,9099.00
222,Ahumada,Chupete Mam Rep 2 Un. Ult Vent Flu3,68027,9799.00,9799.00
223,Ahumada,Suncare 100 Fluid Color Fps 50 Pomo 60ml,85887,21399.00,21399.00
224,Ahumada,Suncare 100 Fluid Color Fps 50 Pomo 60ml,85887,21399.00,21399.00
225,Ahumada,Zomel HP Triterapia 1 g\/500 mg\/20 mg  x 14 Blister,75761,47795.00,47795.00
226,Ahumada,Preservativo Skyn Large X 6,89068,9295.00,9295.00
227,Ahumada,Preservativo Skyn Large X 6,89068,9295.00,9295.00
228,Ahumada,Preservativo Skyn Large X 6,89068,9295.00,9295.00
229,Ahumada,N/A,N/A,N/A,N/A
230,Ahumada,N/A,N/A,N/A,N/A
231,Ahumada,Pedialyte 60 Sabor Uva x 500 mL Solucion Oral,71573,5195.00,5195.00
232,Ahumada,Glucosa 5 % x 500 mL Soluci\u00f3n Inyectable,62957,1795.00,1795.00
233,Ahumada,Aloelax x 50 C\u00e1psulas,46663,13295.00,13295.00
234,Ahumada,Aloelax x 50 C\u00e1psulas,46663,13295.00,13295.00
235,Ahumada,Deaten 40 mg x 30 Comprimidos,46169,63495.00,63495.00
236,Ahumada,Deaten 40 mg x 30 Comprimidos,46169,63495.00,63495.00
237,Ahumada,Rexona Desodorante Spray Invisible For Men x 150 mL,75393003,3299.00,3299.00
238,Ahumada,Ribolac 200 mg x 10 Comprimidos Recubiertos,80286,12095.00,12095.00
239,Ahumada,Ribolac 200 mg x 10 Comprimidos Recubiertos,80286,12095.00,12095.00
240,Ahumada,Gillette Gel De Afeitar Fusion 2 En 1 Glid +  Smooth Hidratante x 1 Unidad,73766002,7899.00,7899.00
241,Ahumada,Eminence Fragancia Sport Con Atomizador x 100 mL,19310,8899.00,8899.00
242,Ahumada,N/A,N/A,N/A,N/A
243,Ahumada,Sustenan 250 Caja 1 Amp. 1 Ml.,7128,36245.00,36245.00
244,Ahumada,N/A,N/A,N/A,N/A
245,Ahumada,Medicasp 1% x 400 mL Shampoo,87009,17295.00,17295.00
246,Ahumada,Medicasp 1% x 400 mL Shampoo,87009,17295.00,17295.00
247,Ahumada,Gillette Pack Maquina Afeitar Venus Tropical x 3 Unidades,82305,6299.00,6299.00
248,Ahumada,Gillette Pack Maquina Afeitar Venus Tropical x 3 Unidades,82305,6299.00,6299.00
249,Ahumada,Rexona Clinical Desodorante Crema Extra Dry x 48 g,76162001,5999.00,5999.00
250,Ahumada,Trim Tijera Cortau\u00f1as x 1 Unidad,85200,6549.00,6549.00
251,Ahumada,Trim Tijera Cortau\u00f1as x 1 Unidad,85200,6549.00,6549.00
252,Ahumada,Aerochamber Plus Adult Azul x 1 Unidad,87386,33195.00,33195.00
253,Ahumada,Epi Derm EDG 499 2 cm x 2 cm x 1 Unidad,19080,11795.00,11795.00
254,Ahumada,"Parches Hidrocoloide, Curaci\u00f3n Avanzada",73874,6095.00,6095.00
255,Ahumada,Colgate Enjuague Bucal Canguro Luminous x 750 mL,84212,8749.00,8749.00
256,Ahumada,Elmex Enjuague Bucal Sensitive x 400 mL,87645,7799.00,7799.00
257,Ahumada,Speed Stick Desodorante Gel Stress Defense x 85 g,78893,5099.00,5099.00
258,Ahumada,Blunding Cabestrillo Talla 8-10 Verde x 1 Unidad,87040,5995.00,5995.00
259,Ahumada,Blunding Cabestrillo Brazo Adulto M x 1 Unidad,87132,5995.00,5995.00
260,Ahumada,Petrizzio Crema Nutritiva x 50 mL,45349,4199.00,4199.00
261,Ahumada,Caristop Sensitive Pasta Dental x 100 g,63258,7099.00,7099.00
262,Ahumada,Caristop Sensitive Pasta Dental x 100 g,63258,7099.00,7099.00
263,Ahumada,No 7 Paleta De Sombras De Ojos Nude 8 x 1 g,84465001,13499.00,13499.00
264,Ahumada,Bladuril 200 mg x 20 Comprimidos Recubiertos,7227,19995.00,19995.00
265,Ahumada,Bladuril 200 mg x 20 Comprimidos Recubiertos,7227,19995.00,19995.00
266,Ahumada,Repelente Off Family 170ml,90237,5995.00,5995.00
267,Ahumada,Repelente Off Family 170ml,90237,5995.00,5995.00
268,Ahumada,Repelente Off Family 170ml,90237,5995.00,5995.00
269,Ahumada,Lamictal 100 mg x 30 Comprimidos,12267,52395.00,52395.00
270,Ahumada,Lamictal 100 mg x 30 Comprimidos,12267,52395.00,52395.00
271,Ahumada,Suncare Kids FPS 50+ x 180 g Spray Solucion Topica,87138,20199.00,20199.00
272,Ahumada,Suncare Kids FPS 50+ x 180 g Spray Solucion Topica,87138,20199.00,20199.00
273,Ahumada,Similac Formula Total Comfort Etapa 1 Y 2 x 1400 g,82770,34199.00,34199.00
274,Ahumada,Soap & Glory Brillo Labial Smp Plums x 1 Unidad,81176006,8299.00,8299.00
275,Ahumada,Ferbex 200 mg x 30 C\u00e1psulas,85239,23595.00,23595.00
276,Ahumada,Ferbex 200 mg x 30 C\u00e1psulas,85239,23595.00,23595.00
277,Ahumada,Ferbex 200 mg x 30 C\u00e1psulas,85239,23595.00,23595.00
278,Ahumada,"Cloruro De Sodio 0,9 % 10 mL x 5 Ampollas Soluci\u00f3n Inyectable",62898,2695.00,2695.00
279,Ahumada,Agua Bidestilada Inyect.5 Amp. 5ml.,89168,1995.00,1995.00
280,Ahumada,Agua Bidestilada Inyect.5 Amp. 5ml.,89168,1995.00,1995.00
281,Ahumada,Dove Jabon Liquido Recarga x 700 mL,70730,3499.00,3499.00
282,Ahumada,N/A,N/A,N/A,N/A
283,Ahumada,N/A,N/A,N/A,N/A
284,Ahumada,Ensure Vainilla x 850 g Polvo,78697,20495.00,20495.00
285,Ahumada,N/A,N/A,N/A,N/A
286,Ahumada,Calcefor D Forte x 60 C\u00e1psulas,40950,11495.00,11495.00
287,Ahumada,Calcefor D Forte x 60 C\u00e1psulas,40950,11495.00,11495.00
288,Ahumada,Calcefor D Forte x 60 C\u00e1psulas,40950,11495.00,11495.00
289,Ahumada,Nutrisse Cor Intensa Tintura 8.1 Rubio Claro Ceniza x 1 Unidad,72894019,2899.00,2899.00
290,Ahumada,Duo Laca Fijador Extra Fuerte x 330 mL,75795,3099.00,3099.00
291,Ahumada,Hemofolic x 30 C\u00e1psulas Blandas,85540,18895.00,18895.00
292,Ahumada,N/A,N/A,N/A,N/A
293,Ahumada,Infor Coenzima Q10 x 30 C\u00e1psulas Blandas,35942,13895.00,13895.00
294,Ahumada,Infor Coenzima Q10 x 30 C\u00e1psulas Blandas,35942,13895.00,13895.00
295,Ahumada,Vichy Desodorante Roll On Intense Pespirant Treatment x 50 mL,26811,14199.00,14199.00
